Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32829,Journey to the Center of the Earth,Jules Verne,"Verne, Jules","Lowell Bair, Kim Stanley Robinson","=""0553213970""","=""9780553213973""",0,3.85,Bantam,Mass Market Paperback,240,1991,1864,,2024/10/26,"nyc-collection, currently-reading","nyc-collection (#228), currently-reading (#1)",currently-reading,,,,1,0
220160351,The Ministry of Time,Kaliane Bradley,"Bradley, Kaliane",,"=""166804515X""","=""9781668045152""",0,3.60,Avid Reader Press / Simon & Schuster,Paperback,368,2025,2024,,2025/03/16,to-read,to-read (#294),to-read,,,,0,0
60568491,Fledgling,Octavia E. Butler,"Butler, Octavia E.",,"=""1538724588""","=""9781538724583""",5,3.81,Grand Central Publishing,Paperback,320,2022,2005,2025/03/15,2024/09/14,nyc-collection,nyc-collection (#227),read,Creative take on vampires and a compelling story throughout,,,1,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",4,4.12,W.W. Norton & Company,Paperback,502,2019,2018,2025/03/15,2023/05/29,,,read,"Slow but moving, fun to read as I saw ancient trees around Charleston ",,,1,0
15858454,"Clouds above the Hill: A Historical Novel of the Russo-Japanese War, Volume 1",Ryōtarō Shiba,"Shiba, Ryōtarō","Phyllis Birnbaum, Julia Winters Carpenter, Paul McCarthy","=""0415508762""","=""9780415508766""",0,4.20,Routledge,Hardcover,390,2012,1969,,2025/03/14,to-read,to-read (#293),to-read,,,,0,0
195607632,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",Erik Larson,"Larson, Erik",,"=""0385348754""","=""9780385348751""",3,4.20,Crown,Kindle Edition,559,2024,2024,2025/03/10,2024/05/09,,,read,"This was interesting, particularly given that I plan to visit Fort Sumter tomorrow, but I felt it got bogged down in details and didn’t really talk much about what happened in the fort, nor about the war itself. ",,,1,0
60531420,The Sunlit Man,Brandon Sanderson,"Sanderson, Brandon","Ernanda Souza, Nabetse Zitro, Kudriaken","=""1938570391""","=""9781938570391""",5,4.30,Dragonsteel Entertainment,Hardcover,447,2023,2023,2025/02/03,2024/12/07,,,read,Fun to read after the Stormlight Archive. Got me interested in more cosmere books!,,,1,0
18077752,"Acceptance (Southern Reach, #3)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104115""","=""9780374104115""",3,3.66,"Farrar, Straus and Giroux",Paperback,341,2014,2014,2025/03/05,2025/03/01,,,read,Wrapped up well but now there’s a 4th book? This series didn’t land for me. ,,,1,0
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",2,3.95,Anchor Books,Paperback,351,2003,2001,2025/03/01,2023/10/01,"top-100-book-poster, nyc-collection","top-100-book-poster (#11), nyc-collection (#236)",read,"I was very underwhelmed with this book. Over half of it is dedicated to a single day, and while the consequences of that day are felt in the remainder, there isn’t much time to address them. Beyond that, while the writing is interesting and varied, the story really isn’t. I wasn’t aware of the subject of the book before reading it and probably wouldn’t have read it had I known. ",,,1,0
44451887,"Jujutsu Kaisen, Vol. 1",Gege Akutami,"Akutami, Gege",,"=""1974710025""","=""9781974710027""",3,4.51,VIZ Media LLC,Paperback,192,2019,2018,2025/02/04,2024/08/16,nyc-collection,nyc-collection (#210),read,,,,1,0
17972257,Eve in Hollywood,Amor Towles,"Towles, Amor",,"=""""","=""9781101630921""",0,3.69,Penguin,Kindle Edition,91,2013,2013,,2025/02/24,,,read,,,,1,0
195474144,Table for Two,Amor Towles,"Towles, Amor",,"=""0593296370""","=""9780593296370""",5,4.21,Viking,Hardcover,451,2024,2024,2025/02/24,2024/10/26,nyc-collection,nyc-collection (#223),read,Amor Towles’ writing continues to pull in the reader and his rich characters intrigue you even in short stories. ,,,1,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""1524763187""","=""9781524763183""",0,4.33,Crown,Kindle Edition,768,2020,2020,,2025/02/24,to-read,to-read (#292),to-read,,,,0,0
10837197,Batman: A Death in the Family,Jim Starlin,"Starlin, Jim","Marv Wolfman, Jim Aparo, Mike DeCarlo, George Pérez","=""1401232744""","=""9781401232740""",4,4.08,DC Comics,Paperback,269,2011,1988,2024/11/10,2024/08/16,nyc-collection,nyc-collection (#198),read,,,,1,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",5,4.18,Doubleday,Hardcover,331,2023,2023,,2025/02/11,,,read,,,,1,0
210191773,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""0063021471""","=""9780063021471""",0,4.16,Harper Voyager,Hardcover,560,2025,2025,,2025/02/21,to-read,to-read (#291),to-read,,,,0,0
10644930,11/22/63,Stephen        King,"King, Stephen",,"=""1451627289""","=""9781451627282""",5,4.34,Scribner,Hardcover,849,2011,2011,2025/02/20,2023/01/17,nyc-collection,nyc-collection (#189),read,Really enjoyed how he handled time paradoxes and felt it had the same level of unique and intricate character mindset as Billy Summers did. ,,,1,0
